,Model,R2_mean,MAE_mean,RMSE_mean,R2_std,MAE_std,RMSE_std
0,KAN-Symbolic,0.9984598918636604,0.4485659898462041,0.6854733131908202,0.0010756961051564624,0.16584659493202045,0.31206398199384333
1,MLPRegressor,0.9958500743269756,0.6871963425404605,1.1571436383171432,0.0010641146566126507,0.2261466502288783,0.2660684374787301
2,KAN-Model,0.919186323237722,2.7643556219692678,4.265837784758435,0.10022915587902251,1.5068906053200053,2.151945779171492
3,RandomForestRegressor,0.9042613313214481,4.141314197189134,5.217555435822716,0.05928974376077699,0.9470948856035145,1.021442704113327
4,BaggingRegressor,0.9023013173177545,4.205289289674196,5.280635407693038,0.059289041864859365,0.9360572732928812,1.0019774097502805
