Predictor,Dataset,R2,MAE,RMSE
KAN (full),Train,0.999540101996891,0.192659,0.25816363
KAN (full),Val,0.9148976222835358,1.7272875,2.9470685
Symbolic (full),Train,0.9866812558021865,1.0644431,1.3892998
Symbolic (full),Val,0.9011584227297899,2.0897791,3.1760638
KAN (pruned),Train,0.9997702509443893,0.13007389,0.18246987
KAN (pruned),Val,0.9846991438715588,0.5848112,1.2496179
Symbolic (pruned),Train,0.9987211307997886,0.32811448,0.43050417
Symbolic (pruned),Val,0.9996663557190613,0.15248688,0.18452755
