,Model,R2,MAE,RMSE
0,KAN-Symbolic,0.9996023367339093,0.16916833089651576,0.20145456913669596
1,MLPRegressor,0.9979892167820261,0.24130949243329958,0.45300397238600654
2,KAN-Model,0.9846991443548149,0.5848112428616806,1.2496179164849197
3,RandomForestRegressor,0.8823992266686613,2.0712719759113805,3.464371627782949
4,BaggingRegressor,0.8800111919198774,2.1146694086482154,3.4993691112356275
