,created_date,water_pH,TDS,water_temp,WA_WQI,WQM,RMS_WQI
0,2023-01-30 12:00:00,6.448,287.6,23.88,12.215376446483694,21.207222084846247,12.243995379450157
1,2023-01-30 12:01:00,6.444373333333334,287.61466666666666,23.88,12.152569509133397,21.256673269514167,12.272546034229928
2,2023-01-30 12:02:00,6.446985866666667,287.6223733333333,23.88,12.197797459844727,21.221014571853125,12.251958475536373
3,2023-01-30 12:03:00,6.445146149333334,290.9899258666666,23.88,12.162969955515532,21.2434376331374,12.264904436004905
4,2023-01-30 12:04:00,6.439843226346667,290.9301273493333,23.88,12.071205203333333,21.31612794898562,12.306872209427354
5,2023-01-30 12:05:00,6.438379695153068,290.88485813567996,23.8812,12.075339521336932,21.354625146392923,12.329098576713506
6,2023-01-30 12:06:00,6.426312101250006,290.88716097296634,23.882376,11.8952389006502,21.53953809432765,12.435858116980267
7,2023-01-30 12:07:00,6.418085859225006,290.769417753507,23.88352848,11.781178522833395,21.67210195029252,12.5123938949064
8,2023-01-30 12:08:00,6.417324142040506,290.70069606510356,23.884657910399998,11.79575412705133,21.699902917113924,12.52844479058447
9,2023-01-30 12:09:00,6.408777659199695,290.5666821438015,23.885764752191996,11.675043846403293,21.837167904263573,12.60769476786563
10,2023-01-30 12:10:00,6.407935439349035,290.5153485009254,23.886849457148156,11.687113165417847,21.865425874245734,12.624009514441582
11,2023-01-30 12:11:00,6.402676730562053,293.7750415309069,23.88791246800519,11.61925720343975,21.95353232392901,12.674877796883566
12,2023-01-30 12:12:00,6.399456529284145,294.7578740336221,23.888954218645086,11.58818608701646,22.014261981664973,12.709940081125216
13,2023-01-30 12:13:00,6.399987398698462,294.65471655294965,23.890215134272186,11.628397801746308,22.02563852666819,12.71650833244527
14,2023-01-30 12:14:00,6.397054317391159,294.4816222218907,23.89121083158674,11.602189121964468,22.082488360114237,12.749330599088731
15,2023-01-30 12:15:00,6.38224656437667,296.53198977745285,23.892986614955007,11.387547469210968,22.320261493284768,12.8866089815308
16,2023-01-30 12:16:00,6.38533496642247,296.3480166485705,23.894726882655906,11.4838709722551,22.30161770948582,12.875844987935764
17,2023-01-30 12:17:00,6.379328267094021,296.16105631559907,23.895632345002788,11.402242956902002,22.401976459880228,12.93378713949151
18,2023-01-30 12:18:00,6.373408368418807,298.2045018559537,23.896519698102733,11.319704114559045,22.4995993604636,12.990149747422391
19,2023-01-30 12:19:00,6.377340201050431,298.0004118188346,23.897989304140676,11.424009942809477,22.464350125188695,12.969798591947697
20,2023-01-30 12:20:00,6.376393397029422,304.4204035824579,23.900029518057863,11.451991579869382,22.50374309983611,12.99254213646456
21,2023-01-30 12:21:00,6.378565529088833,307.38199551080874,23.902028927696705,11.536029115310896,22.499930687158802,12.990341038979055
22,2023-01-30 12:22:00,6.376944218507056,309.46435560059257,23.90398834914277,11.554180549857481,22.55102456325126,13.019840102094978
23,2023-01-30 12:23:00,6.371605334136915,310.6850684885807,23.905908582159917,11.50776360552702,22.65595559071874,13.080422059049672
24,2023-01-30 12:24:00,6.370973227454177,310.2313671188091,23.907790410516718,11.543378800619877,22.693298076001888,13.101981752980105
25,2023-01-30 12:25:00,6.371153762905093,309.74673977643295,23.909634602306383,11.592168628006892,22.718343556153133,13.116441767687412
26,2023-01-30 12:26:00,6.371530687646991,309.3518049809043,23.911441910260255,11.643374919256498,22.739972529326838,13.128929261171546
27,2023-01-30 12:27:00,6.373900073894052,308.92476888128624,23.91321307205505,11.728221442745411,22.732401104828654,13.12455789719937
28,2023-01-30 12:28:00,6.372955405749504,308.4929401703272,23.91494881061395,11.754822050106723,22.7721216299512,13.147490553071226
29,2023-01-30 12:29:00,6.368762964301181,308.056414700254,23.91664983440167,11.724341659662985,22.85815280984268,13.197160677940271
30,2023-01-30 12:30:00,6.361387705015158,307.6152864062489,23.918316837713636,11.63792189137028,22.989967680690906,13.273264029107692
31,2023-01-30 12:31:00,6.356226617581521,307.2096473447906,23.919950500959363,11.588990308360627,23.08947882066524,13.330716812559238
32,2023-01-30 12:32:00,6.351402085229891,310.1854543978948,23.921551490940175,11.542098621548135,23.18156723486419,13.38388408328625
33,2023-01-30 12:33:00,6.341974043525293,309.74174530993685,23.92312046112137,11.417733548664108,23.343344811246546,13.477286410559447
34,2023-01-30 12:34:00,6.336534562654788,309.3069104037381,23.924658051898945,11.36165094648721,23.44644575480993,13.536811768079472
35,2023-01-30 12:35:00,6.3350038714016925,308.88077219566327,23.926164890860967,11.372485165603276,23.491381554476355,13.562755464113131
36,2023-01-30 12:36:00,6.337303793973659,308.46315675175,23.92764159304375,11.448897869586412,23.47924700177808,13.555749576846289
37,2023-01-30 12:37:00,6.340124384760852,308.0472269500483,23.929088761182875,11.533599766752761,23.459165203409285,13.544155345152252
38,2023-01-30 12:38:00,6.343455230398968,307.632949077714,23.930506985959216,11.626425073238574,23.431373283122923,13.528109672493624
39,2023-01-30 12:39:00,6.347286125790989,307.2202900961597,23.931896846240033,11.727211320857606,23.396113186382678,13.507752246148993
40,2023-01-30 12:40:00,6.344140403275169,306.8358842942365,23.93325890931523,11.706494006973267,23.462379732671618,13.546011254487178
41,2023-01-30 12:41:00,6.342257595209666,309.7691666083518,23.935193731128926,11.718762937903536,23.516492866972943,13.577253487142743
42,2023-01-30 12:42:00,6.334912443305472,309.3137832761847,23.93768985650635,11.653214505105733,23.66117582492139,13.66078623186143
43,2023-01-30 12:43:00,6.3295475277726965,308.8741742773277,23.940136059376222,11.620714437437462,23.77629949857455,13.72725291583518
